
=== Tuning Regression_n_gt_10k ===
  {'max_depth': 3, 'learning_rate': 0.005} -> 0.9480 (best_iter=3998)
  {'max_depth': 3, 'learning_rate': 0.01} -> 0.9463 (best_iter=3060)
  {'max_depth': 3, 'learning_rate': 0.05} -> 0.9462 (best_iter=605)
  {'max_depth': 3, 'learning_rate': 0.1} -> 0.9490 (best_iter=314)
  {'max_depth': 3, 'learning_rate': 0.2} -> 0.9537 (best_iter=186)
  {'max_depth': 3, 'learning_rate': 0.3} -> 0.9479 (best_iter=105)
  {'max_depth': 5, 'learning_rate': 0.005} -> 0.9508 (best_iter=2594)
  {'max_depth': 5, 'learning_rate': 0.01} -> 0.9516 (best_iter=1304)
  {'max_depth': 5, 'learning_rate': 0.05} -> 0.9508 (best_iter=270)
  {'max_depth': 5, 'learning_rate': 0.1} -> 0.9444 (best_iter=141)
  {'max_depth': 5, 'learning_rate': 0.2} -> 0.9477 (best_iter=63)
  {'max_depth': 5, 'learning_rate': 0.3} -> 0.9343 (best_iter=41)
  {'max_depth': 7, 'learning_rate': 0.005} -> 0.9429 (best_iter=1630)
  {'max_depth': 7, 'learning_rate': 0.01} -> 0.9421 (best_iter=956)
  {'max_depth': 7, 'learning_rate': 0.05} -> 0.9429 (best_iter=204)
  {'max_depth': 7, 'learning_rate': 0.1} -> 0.9395 (best_iter=103)
  {'max_depth': 7, 'learning_rate': 0.2} -> 0.9367 (best_iter=38)
  {'max_depth': 7, 'learning_rate': 0.3} -> 0.9445 (best_iter=29)
  {'max_depth': 9, 'learning_rate': 0.005} -> 0.9429 (best_iter=1466)
  {'max_depth': 9, 'learning_rate': 0.01} -> 0.9447 (best_iter=731)
  {'max_depth': 9, 'learning_rate': 0.05} -> 0.9500 (best_iter=141)
  {'max_depth': 9, 'learning_rate': 0.1} -> 0.9414 (best_iter=73)
  {'max_depth': 9, 'learning_rate': 0.2} -> 0.9388 (best_iter=32)
  {'max_depth': 9, 'learning_rate': 0.3} -> 0.9458 (best_iter=27)
  {'max_depth': 11, 'learning_rate': 0.005} -> 0.9417 (best_iter=1441)
  {'max_depth': 11, 'learning_rate': 0.01} -> 0.9364 (best_iter=566)
  {'max_depth': 11, 'learning_rate': 0.05} -> 0.9380 (best_iter=127)
  {'max_depth': 11, 'learning_rate': 0.1} -> 0.9433 (best_iter=76)
  {'max_depth': 11, 'learning_rate': 0.2} -> 0.9361 (best_iter=36)
  {'max_depth': 11, 'learning_rate': 0.3} -> 0.9406 (best_iter=15)
  -> winner: {'max_depth': 3, 'learning_rate': 0.2, 'n_estimators': 187} (score=0.9537)

=== Tuning Classification_Mixed ===
  {'max_depth': 1, 'learning_rate': 0.005} -> 0.9360 (best_iter=3560)
  {'max_depth': 1, 'learning_rate': 0.01} -> 0.9360 (best_iter=1790)
  {'max_depth': 1, 'learning_rate': 0.05} -> 0.9362 (best_iter=353)
  {'max_depth': 1, 'learning_rate': 0.1} -> 0.9350 (best_iter=210)
  {'max_depth': 1, 'learning_rate': 0.2} -> 0.9350 (best_iter=109)
  {'max_depth': 1, 'learning_rate': 0.3} -> 0.9352 (best_iter=71)
  {'max_depth': 2, 'learning_rate': 0.005} -> 0.9455 (best_iter=2102)
  {'max_depth': 2, 'learning_rate': 0.01} -> 0.9451 (best_iter=1043)
  {'max_depth': 2, 'learning_rate': 0.05} -> 0.9442 (best_iter=241)
  {'max_depth': 2, 'learning_rate': 0.1} -> 0.9453 (best_iter=116)
  {'max_depth': 2, 'learning_rate': 0.2} -> 0.9451 (best_iter=55)
  {'max_depth': 2, 'learning_rate': 0.3} -> 0.9436 (best_iter=42)
  {'max_depth': 3, 'learning_rate': 0.005} -> 0.9451 (best_iter=1270)
  {'max_depth': 3, 'learning_rate': 0.01} -> 0.9453 (best_iter=646)
  {'max_depth': 3, 'learning_rate': 0.05} -> 0.9451 (best_iter=151)
  {'max_depth': 3, 'learning_rate': 0.1} -> 0.9446 (best_iter=75)
  {'max_depth': 3, 'learning_rate': 0.2} -> 0.9446 (best_iter=41)
  {'max_depth': 3, 'learning_rate': 0.3} -> 0.9453 (best_iter=20)
  {'max_depth': 5, 'learning_rate': 0.005} -> 0.9410 (best_iter=885)
  {'max_depth': 5, 'learning_rate': 0.01} -> 0.9423 (best_iter=434)
  {'max_depth': 5, 'learning_rate': 0.05} -> 0.9404 (best_iter=102)
  {'max_depth': 5, 'learning_rate': 0.1} -> 0.9432 (best_iter=65)
  {'max_depth': 5, 'learning_rate': 0.2} -> 0.9421 (best_iter=25)
  {'max_depth': 5, 'learning_rate': 0.3} -> 0.9366 (best_iter=14)
  {'max_depth': 7, 'learning_rate': 0.005} -> 0.9300 (best_iter=753)
  {'max_depth': 7, 'learning_rate': 0.01} -> 0.9351 (best_iter=459)
  {'max_depth': 7, 'learning_rate': 0.05} -> 0.9385 (best_iter=90)
  {'max_depth': 7, 'learning_rate': 0.1} -> 0.9357 (best_iter=37)
  {'max_depth': 7, 'learning_rate': 0.2} -> 0.9419 (best_iter=20)
  {'max_depth': 7, 'learning_rate': 0.3} -> 0.9446 (best_iter=20)
  {'max_depth': 9, 'learning_rate': 0.005} -> 0.9289 (best_iter=741)
  {'max_depth': 9, 'learning_rate': 0.01} -> 0.9308 (best_iter=384)
  {'max_depth': 9, 'learning_rate': 0.05} -> 0.9314 (best_iter=79)
  {'max_depth': 9, 'learning_rate': 0.1} -> 0.9346 (best_iter=40)
  {'max_depth': 9, 'learning_rate': 0.2} -> 0.9474 (best_iter=30)
  {'max_depth': 9, 'learning_rate': 0.3} -> 0.9423 (best_iter=17)
  {'max_depth': 11, 'learning_rate': 0.005} -> 0.9295 (best_iter=761)
  {'max_depth': 11, 'learning_rate': 0.01} -> 0.9287 (best_iter=381)
  {'max_depth': 11, 'learning_rate': 0.05} -> 0.9325 (best_iter=71)
  {'max_depth': 11, 'learning_rate': 0.1} -> 0.9395 (best_iter=57)
  {'max_depth': 11, 'learning_rate': 0.2} -> 0.9429 (best_iter=25)
  {'max_depth': 11, 'learning_rate': 0.3} -> 0.9372 (best_iter=14)
  -> winner: {'max_depth': 9, 'learning_rate': 0.2, 'n_estimators': 31} (score=0.9474)
Skipping Regression_n_gt_10k (already tuned)
Skipping Regression_d_gt_50 (already tuned)
Skipping Regression_Mixed (already tuned)

=== Tuning Classification_n_gt_10k ===
  {'max_depth': 1, 'learning_rate': 0.005} -> 0.9093 (best_iter=3998)
  {'max_depth': 1, 'learning_rate': 0.01} -> 0.9093 (best_iter=3835)
  {'max_depth': 1, 'learning_rate': 0.05} -> 0.9093 (best_iter=622)
  {'max_depth': 1, 'learning_rate': 0.1} -> 0.9085 (best_iter=655)
  {'max_depth': 1, 'learning_rate': 0.2} -> 0.9088 (best_iter=236)
  {'max_depth': 1, 'learning_rate': 0.3} -> 0.9087 (best_iter=85)
  {'max_depth': 2, 'learning_rate': 0.005} -> 0.9210 (best_iter=3997)
  {'max_depth': 2, 'learning_rate': 0.01} -> 0.9205 (best_iter=3998)
  {'max_depth': 2, 'learning_rate': 0.05} -> 0.9196 (best_iter=986)
  {'max_depth': 2, 'learning_rate': 0.1} -> 0.9191 (best_iter=549)
  {'max_depth': 2, 'learning_rate': 0.2} -> 0.9203 (best_iter=270)
  {'max_depth': 2, 'learning_rate': 0.3} -> 0.9187 (best_iter=256)
  {'max_depth': 3, 'learning_rate': 0.005} -> 0.9242 (best_iter=3999)
  {'max_depth': 3, 'learning_rate': 0.01} -> 0.9227 (best_iter=3999)
  {'max_depth': 3, 'learning_rate': 0.05} -> 0.9208 (best_iter=1058)
  {'max_depth': 3, 'learning_rate': 0.1} -> 0.9210 (best_iter=480)
  {'max_depth': 3, 'learning_rate': 0.2} -> 0.9214 (best_iter=353)
  {'max_depth': 3, 'learning_rate': 0.3} -> 0.9215 (best_iter=103)
  {'max_depth': 5, 'learning_rate': 0.005} -> 0.9181 (best_iter=3855)
  {'max_depth': 5, 'learning_rate': 0.01} -> 0.9178 (best_iter=2631)
  {'max_depth': 5, 'learning_rate': 0.05} -> 0.9180 (best_iter=506)
  {'max_depth': 5, 'learning_rate': 0.1} -> 0.9155 (best_iter=247)
  {'max_depth': 5, 'learning_rate': 0.2} -> 0.9139 (best_iter=138)
  {'max_depth': 5, 'learning_rate': 0.3} -> 0.9123 (best_iter=98)
  {'max_depth': 7, 'learning_rate': 0.005} -> 0.9148 (best_iter=2711)
  {'max_depth': 7, 'learning_rate': 0.01} -> 0.9149 (best_iter=1267)
  {'max_depth': 7, 'learning_rate': 0.05} -> 0.9162 (best_iter=343)
  {'max_depth': 7, 'learning_rate': 0.1} -> 0.9121 (best_iter=156)
  {'max_depth': 7, 'learning_rate': 0.2} -> 0.9125 (best_iter=76)
  {'max_depth': 7, 'learning_rate': 0.3} -> 0.9076 (best_iter=38)
  {'max_depth': 9, 'learning_rate': 0.005} -> 0.9146 (best_iter=1633)
  {'max_depth': 9, 'learning_rate': 0.01} -> 0.9131 (best_iter=866)
  {'max_depth': 9, 'learning_rate': 0.05} -> 0.9139 (best_iter=161)
  {'max_depth': 9, 'learning_rate': 0.1} -> 0.9133 (best_iter=68)
  {'max_depth': 9, 'learning_rate': 0.2} -> 0.9090 (best_iter=33)
  {'max_depth': 9, 'learning_rate': 0.3} -> 0.9122 (best_iter=27)
  {'max_depth': 11, 'learning_rate': 0.005} -> 0.9096 (best_iter=1053)
  {'max_depth': 11, 'learning_rate': 0.01} -> 0.9118 (best_iter=466)
  {'max_depth': 11, 'learning_rate': 0.05} -> 0.9088 (best_iter=106)
  {'max_depth': 11, 'learning_rate': 0.1} -> 0.9107 (best_iter=69)
  {'max_depth': 11, 'learning_rate': 0.2} -> 0.9098 (best_iter=29)
  {'max_depth': 11, 'learning_rate': 0.3} -> 0.9055 (best_iter=18)
  -> winner: {'max_depth': 3, 'learning_rate': 0.005, 'n_estimators': 4000} (score=0.9242)
Skipping Classification_d_gt_50 (already tuned)
Skipping Classification_Mixed (already tuned)
